partition,detector,strat_id,strat_name,budget_label,budget_k,detectable_size,clean_pct,mean_out_z,mean_delta_z,ci95_delta_z,mean_edits,mean_turnover,content_jsd
val,synthid,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),High,10,10,30.0,2.1025182693342175,-0.3615703903903364,0.48700806422669174,10.4,13.635407343618722,0.08183279040249167
val,synthid,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Low,3,10,0.0,2.553777826013379,0.08968916628882546,0.5732770296905211,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Medium,5,10,20.0,2.3645405273453246,-0.09954813237922917,0.5296713694837027,7.8,10.271962077267808,0.061251721354903865
val,synthid,STRAT_02_SPATIAL_ONLY,Spatial Position Only,High,10,10,30.0,2.083559212733686,-0.380529446990868,0.4670006012290802,10.4,13.530144185723985,0.08183279040249168
val,synthid,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Low,3,10,10.0,2.522297173669241,0.05820851394468733,0.5698905020928104,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Medium,5,10,20.0,2.2870595615917026,-0.17702909813285095,0.569758718034918,7.8,10.155683007500366,0.061697030859712516
val,synthid,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,High,10,10,30.0,2.1025182693342175,-0.3615703903903364,0.48700806422669174,10.4,13.635407343618722,0.08183279040249168
val,synthid,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Low,3,10,10.0,2.522297173669241,0.05820851394468733,0.5698905020928104,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Medium,5,10,20.0,2.2870595615917026,-0.17702909813285095,0.569758718034918,7.8,10.155683007500366,0.06169703085971251
val,synthid,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,High,10,10,30.0,2.1025182693342175,-0.3615703903903364,0.48700806422669174,10.4,13.635407343618722,0.08183279040249167
val,synthid,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Low,3,10,10.0,2.522297173669241,0.05820851394468733,0.5698905020928104,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Medium,5,10,20.0,2.2870595615917026,-0.17702909813285095,0.569758718034918,7.8,10.155683007500366,0.06169703085971251
val,synthid,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,High,10,10,30.0,2.1025182693342175,-0.3615703903903364,0.48700806422669174,10.4,13.635407343618722,0.08183279040249168
val,synthid,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Low,3,10,10.0,2.522297173669241,0.05820851394468733,0.5698905020928104,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Medium,5,10,20.0,2.2870595615917026,-0.17702909813285095,0.569758718034918,7.8,10.155683007500366,0.06169703085971251
val,synthid,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,High,10,10,30.0,2.1025182693342175,-0.3615703903903364,0.48700806422669174,10.4,13.635407343618722,0.08183279040249168
val,synthid,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Low,3,10,10.0,2.522297173669241,0.05820851394468733,0.5698905020928104,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Medium,5,10,20.0,2.2870595615917026,-0.17702909813285095,0.569758718034918,7.8,10.155683007500366,0.06169703085971251
val,synthid,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),High,10,10,30.0,2.1025182693342175,-0.3615703903903364,0.48700806422669174,10.4,13.635407343618722,0.08183279040249168
val,synthid,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Low,3,10,0.0,2.553777826013379,0.08968916628882546,0.5732770296905211,6,7.329476715964928,0.044649344449098786
val,synthid,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Medium,5,10,20.0,2.3645405273453246,-0.09954813237922917,0.5296713694837027,7.8,10.271962077267808,0.06125172135490387
val,synthid,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),High,10,10,30.0,2.083559212733686,-0.380529446990868,0.4670006012290802,10.4,13.530144185723985,0.0818327904024917
val,synthid,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Low,3,10,20.0,2.5513172757054043,0.08722861598085074,0.5986191579270185,6,7.44575578573237,0.04551258281954568
val,synthid,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Medium,5,10,10.0,2.4121708930888532,-0.05191776663570058,0.4458120680797775,7.8,10.38824114703525,0.06022867320266613
