partition,config_id,prob_setting,realized_turnover,mean_out_z,mean_delta_z,clean_pct
dev,DOSE_01_PROB_0.10,0.10,3.3846020559099745,2.059641164764638,-0.32446074087855026,33.33333333333333
dev,DOSE_02_PROB_0.25,0.25,6.378846441655634,1.7930349665694985,-0.5910669390736896,40.476190476190474
dev,DOSE_03_PROB_0.50,0.50,10.111713616523659,1.3769970526976747,-1.0071048529455133,69.04761904761905
dev,DOSE_04_PROB_0.75,0.75,14.472263386406187,0.830042432106035,-1.5540594735371531,90.47619047619048
dev,DOSE_05_PROB_1.00,1.00,18.82366209277528,0.43436494304207807,-1.94973696260111,90.47619047619048
val,DOSE_01_PROB_0.10,0.10,4.02910414907296,2.247584982834116,-0.28603979488640885,16.666666666666664
val,DOSE_02_PROB_0.25,0.25,5.918135340310407,2.0168204292226894,-0.5168043484978355,40.476190476190474
val,DOSE_03_PROB_0.50,0.50,10.04744039901162,1.7554396758674187,-0.7781851018531065,38.095238095238095
val,DOSE_04_PROB_0.75,0.75,15.030767816928613,1.298445359710539,-1.2351794180099862,73.80952380952381
val,DOSE_05_PROB_1.00,1.00,18.325553976685164,0.7620440233494994,-1.7715807543710256,83.33333333333334
