document_id,token_index,sentence_index,paragraph_index,token_text,lemma,pos,domain_class,character_offset,normalized_position,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_transition_rate,standard_error,ci95_low,ci95_high,n_trials,status
cli_input,58,1,0,difficulties,difficulty,NNS,general,177,0.17791411042944785,-0.08027400022747169,-0.07984655160167664,0.12628904165074023,0.1305416766451494,0.0,0.05647817638887148,-0.1909712259496598,0.030423225494716405,5,valid
cli_input,115,2,0,procedures,procedure,NNS,general,364,0.35276073619631904,0.02241291879502514,-0.02751687822753479,0.11447054709278051,0.09059775870705371,0.0,0.051192784944209625,-0.07792493969562572,0.12275077728567602,5,valid
cli_input,142,3,0,range,range,NN,general,463,0.43558282208588955,-0.09834594335318445,-0.18891884964042016,0.1331461263398406,0.1334235565649012,0.0,0.05954475788733177,-0.21505366881235471,0.01836178210598581,5,valid
cli_input,171,4,0,manifested,manifest,VBN,general,546,0.5245398773006135,-0.0858442386463412,-0.07540460815119965,0.21071271215898454,0.1831695934772728,0.0,0.09423358962216717,-0.27054207430578886,0.09885359701310643,5,valid
cli_input,196,4,0,complication,complication,NN,general,633,0.6012269938650306,-0.05383993207610986,-0.21301241159671092,0.22106685663424472,0.20177496183994323,0.0,0.0988641038012743,-0.2476135755266075,0.13993371137438776,5,valid
cli_input,242,5,0,intricate,intricate,JJ,general,768,0.7423312883435583,-0.12776796492512096,-0.21560350460673106,0.13601807780221256,0.1479624128447615,0.0,0.060829133626920495,-0.24699306683388514,-0.008542863016356789,5,valid
cli_input,247,6,0,Perceiving,perceive,VBG,general,799,0.7576687116564417,-0.020361508417134865,0.0428957070825684,0.12642403056922266,0.10543674286306977,0.0,0.05653854526845866,-0.13117705714331385,0.09045404030904411,5,valid
cli_input,263,6,0,change,change,NN,general,856,0.8067484662576687,-0.07986943794444037,-0.0007455809740899433,0.1269009850679723,0.09475891818381439,0.0,0.05675184580473436,-0.1911030557217197,0.03136417983283897,5,valid
cli_input,273,6,0,people,people,NN,general,889,0.8374233128834356,-0.15015749138973744,-0.12081165060958987,0.13168775459799417,0.15015749138973744,0.25,0.06584387729899709,-0.2792114908957717,-0.021103491883703168,4,valid
cli_input,304,6,0,spheres,sphere,NNS,general,983,0.9325153374233128,-0.20113718425441407,-0.21458569830913543,0.17098563775150255,0.23034840494911676,0.4,0.07646710183770279,-0.35101270385631156,-0.05126166465251661,5,valid
cli_input,16,0,0,detailed,detail,VBD,general,41,0.053691275167785234,-0.2876862872735976,-0.33112268529665956,0.11900842608350717,0.2876862872735976,1.0,0.05322218612359622,-0.3920017720758462,-0.183370802471349,5,valid
cli_input,60,1,0,comprehensive,comprehensive,JJ,general,178,0.20134228187919462,-0.08390726495861212,-0.1079166202074473,0.12196476380598055,0.1087761070936629,1.0,0.05454430054597569,-0.19081409402872446,0.02299956411150024,5,valid
cli_input,109,2,0,substance,substance,NN,general,345,0.36577181208053694,-0.3391873448685304,-0.29212230651650595,0.1008592996914839,0.3391873448685304,1.0,0.04510565005463631,-0.42759441897561756,-0.25078027076144327,5,valid
