document_id,token_index,sentence_index,token_text,lemma,pos,domain_class,target_abs_delta_z,target_delta_z,pos_norm,pos_norm_sq,pos_norm_cu,sent_relative_pos,is_sent_initial,is_sent_final,dist_sent_start,dist_sent_end,is_noun,is_verb,is_adj,is_adv,is_cs,is_bio,is_eli5,is_fin,window_count,token_len,syllable_est,clean_rate,n_trials,self_information,candidate_entropy
cli_input,10,0,utilized,utilize,VBD,general,0.19693164133343286,-0.19693164133343286,0.019880715705765408,0.00039524285697346736,7.857710874224004e-06,0.19230769230769232,0.0,0.0,15.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,0.0,5.0,12.836740757757024,3.584962500721156
cli_input,12,0,setup,setup,NN,general,0.4161763991958748,-0.4161763991958748,0.031496062992125984,0.0009920019840039679,3.124415697650293e-05,0.20512820512820512,0.0,0.0,16.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,5.0,12.836740757757024,2.9068905956085187
cli_input,12,0,tension,tension,NN,biomedical,0.10843839382271066,-0.06797798795327106,0.031746031746031744,0.0010078105316200553,3.1993985130795404e-05,0.21794871794871795,0.0,0.0,17.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,5.0,12.836740757757024,3.3923174227787602
cli_input,12,0,reason,reason,NN,biomedical,0.2288079225108294,-0.2288079225108294,0.02591792656587473,0.0006717389174740751,1.7410079934533264e-05,0.23076923076923078,0.0,0.0,18.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,5.0,12.251778257035868,3.169925001442312
cli_input,12,0,group,group,NN,general,0.05784245482604518,0.013341484292265119,0.015789473684210527,0.00024930747922437675,3.936433882490159e-06,0.24358974358974358,0.0,0.0,19.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,5.0,12.836740757757024,2.9068905956085187
cli_input,12,0,domain,domain,NN,general,0.12496860287904021,-0.059669167279299405,0.022900763358778626,0.0005244449624147776,1.2010189978964375e-05,0.2564102564102564,0.0,0.0,20.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,5.0,12.836740757757024,3.169925001442312
cli_input,13,0,system,system,NN,general,0.18991498071044693,-0.18991498071044693,0.03009259259259259,0.0009055641289437584,2.7250772398770508e-05,0.2692307692307692,0.0,0.0,21.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,5.0,9.836740757757024,3.169925001442312
cli_input,14,0,constructed,construct,VBD,general,0.31174668668120786,-0.31174668668120786,0.03674540682414698,0.0013502249226720676,4.961456408768752e-05,0.28205128205128205,0.0,0.0,22.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,3.0,0.0,5.0,12.836740757757024,4.044394119358453
cli_input,14,0,demand,demand,NN,general,0.2842436700448368,-0.2842436700448368,0.0374331550802139,0.0014012410992593437,5.2452875373344414e-05,0.2948717948717949,0.0,0.0,23.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.6,5.0,12.836740757757024,3.169925001442312
cli_input,14,0,elucidate,elucidate,VB,general,0.07452979246843797,-0.06645472234037317,0.027833001988071572,0.0007746759996679961,2.156155863887067e-05,0.3076923076923077,0.0,0.0,24.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,0.0,5.0,12.836740757757024,3.7548875021634687
