model_name,feature_count,r2_train,adj_r2,r2_cv,mae_cv,spearman_rho_cv
Model 0: Token-Only Baseline,4,0.013425740344502834,0.008443042063414397,0.005158832937883773,0.09420901071175966,0.06329323052276126
Model 1: Token + Self-Information,6,0.014343962711973801,0.006857967492064687,0.0035328299137208363,0.09426762995749945,0.05633728969751352
Model 2: Token + Spatial Features,9,0.02300707105548283,0.011834343786739976,0.0013576359820935968,0.09429860206112123,0.09755786413127135
Model 3: Token + Contextual Features,7,0.016642589314336376,0.007918252337404064,0.00232014189315366,0.09422989434756288,0.08107252614806564
Model 4: Token + Self-Info + Spatial,9,0.0230515210185519,0.011879302072131281,0.004113577155968162,0.09408736206092436,0.10585324903780419
Model 5: Token + Self-Info + Context,8,0.016982832228809808,0.007002962505244459,0.0022661985315086675,0.09423712561260275,0.08060019249842101
Model 6: Full Composite Model,18,0.029522816319372258,0.007069616696941283,-0.005664005993271548,0.09454589905754421,0.09463869663882474
