partition,config_id,category,desc,is_matched_budget,total_evals,detectable_size,clean_count,clean_pct,borderline_pct,strong_pct,mean_base_z,mean_out_z,mean_delta_z,median_delta_z,ci95_delta_z,mean_edits,mean_turnover,mean_domain_turnover,mean_jsd,mean_confidence
dev,EXP_14_SHUFFLED_SPATIAL_CTRL,Matched_Budget_Allocation,Shuffled Spatial Coordinate Control (Matched Budget Control),True,120,42,24,57.14285714285714,38.095238095238095,4.761904761904762,2.3841019056431882,1.6854602804999919,-0.6986416251431963,-0.7269463248964969,0.1398631758483634,7.428571428571429,7.3476292390105975,0.0,0.051265437524472046,0.7269678679557012
dev,DOSE_01_PROB_0.10,Dose_Response,Dose-Response: Lexical Prob = 0.10,False,120,42,14,33.33333333333333,57.14285714285714,9.523809523809524,2.3841019056431882,2.059641164764638,-0.32446074087855026,-0.2865065035247305,0.11999232213121207,4.095238095238095,3.3846020559099745,0.0,0.026918483393585844,0.7552994737704684
dev,DOSE_02_PROB_0.25,Dose_Response,Dose-Response: Lexical Prob = 0.25,False,120,42,17,40.476190476190474,52.38095238095239,7.142857142857142,2.3841019056431882,1.7930349665694985,-0.5910669390736896,-0.4872081784724799,0.15570804222724602,6.809523809523809,6.378846441655634,0.0,0.043409408342851674,0.7323087312471752
dev,DOSE_03_PROB_0.50,Dose_Response,Dose-Response: Lexical Prob = 0.50,False,120,42,29,69.04761904761905,28.57142857142857,2.380952380952381,2.3841019056431882,1.3769970526976747,-1.0071048529455133,-0.9209238762724555,0.2392035074766658,10.214285714285714,10.111713616523659,0.0,0.06485537678900956,0.6993390653990934
dev,DOSE_04_PROB_0.75,Dose_Response,Dose-Response: Lexical Prob = 0.75,False,120,42,38,90.47619047619048,9.523809523809524,0.0,2.3841019056431882,0.830042432106035,-1.5540594735371531,-1.3742297424185481,0.22702595219418056,15.071428571428571,14.472263386406187,0.0,0.09869677084196855,0.6946076881934516
dev,DOSE_05_PROB_1.00,Dose_Response,Dose-Response: Lexical Prob = 1.00,False,120,42,38,90.47619047619048,9.523809523809524,0.0,2.3841019056431882,0.43436494304207807,-1.94973696260111,-1.9038414180153762,0.2985272057671513,19.857142857142858,18.82366209277528,0.0,0.1318020123945319,0.6845259998022244
val,CTRL_00_BASELINE,Baseline,Unmodified Watermarked Baseline Control,False,80,42,0,0.0,80.95238095238095,19.047619047619047,2.533624777720525,2.533624777720525,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
val,EXP_01_LEXICAL_ONLY,Individual_Layer,"WordNet Lexical Substitution (Lesk WSD, Unconstrained)",False,80,42,33,78.57142857142857,21.428571428571427,0.0,2.533624777720525,0.8289473324616772,-1.704677445258848,-1.4350367306891185,0.3436806094161282,15.904761904761905,16.930630164034945,0.0,0.11734844686177567,0.6623368656271702
val,EXP_02_LEXICAL_TERMINOLOGY,Individual_Layer,Domain-Aware Lexical Substitution (IATE/EuroVoc Variant-Enabled),False,80,42,35,83.33333333333334,16.666666666666664,0.0,2.533624777720525,0.7620440233494994,-1.7715807543710256,-1.4617679258371643,0.347442140176496,17.904761904761905,18.325553976685164,0.0,0.13445301424403205,0.7081821838068224
val,EXP_03_STRICT_TERMINOLOGY,Individual_Layer,Domain-Aware Lexical with Strict Terminology Protection,False,80,42,34,80.95238095238095,19.047619047619047,0.0,2.533624777720525,0.8315111667814635,-1.7021136109390615,-1.4232621626777022,0.34667102375854514,15.428571428571429,16.489797588174333,0.0,0.11428919115119096,0.6640829783185846
