ablation_group,dropped_features,remaining_count,cv_r2,delta_r2,cv_spearman_rho,delta_spearman_rho
Ablate Self-Information,self_information|candidate_entropy,16,-0.00462363277017408,0.0010403732230974683,0.09177487611641476,-0.0028638205224099794
Ablate Document Position,pos_norm|pos_norm_sq,16,-0.0059800401163676575,-0.00031603412309610945,0.06811927298116416,-0.02651942365766058
Ablate Sentence Position,sent_relative_pos|is_sent_initial|is_sent_final,15,0.0002996043559407857,0.005963610349212334,0.10079681148357422,0.006158114844749485
Ablate Context / Window Overlap,window_count|dist_sent_start|dist_sent_end,15,-0.0012216743583655099,0.004442331634906038,0.09132309314044113,-0.0033156034983836125
Ablate POS Category,is_noun|is_verb|is_adj,15,-0.012114279650150772,-0.006450273656879224,0.06619865015969556,-0.028440046479129177
Ablate Domain Indicators,is_cs|is_bio|is_eli5|is_fin,14,-0.005664005993271548,0.0,0.09463869663882474,0.0
