bin_id,bin_index,start_norm,end_norm,token_count,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_rate,se,ci95_low,ci95_high,raw_p_value,fdr_p_value,bonferroni_p_value,status
pos_bin_32_of_50,31,0.62,0.64,16,-0.10082195813230542,-0.11204192553184648,0.10366879800687011,0.11924845344698126,0.5375,0.025917199501717527,-0.15161966915567177,-0.05002424710893907,0.7348930723610498,0.9962343944707688,1.0,valid
pos_bin_33_of_50,32,0.64,0.66,21,-0.11157001257468507,-0.09845847556254975,0.10835251689162356,0.124725227839579,0.4880952380952381,0.023644457637849822,-0.15791314954487073,-0.06522687560449941,0.9335360647487807,0.9962343944707688,1.0,valid
pos_bin_34_of_50,33,0.66,0.68,9,-0.16886097397427943,-0.18653272051305375,0.06932540586191799,0.16886097397427943,0.5555555555555556,0.023108468620639328,-0.21415357247073252,-0.12356837547782634,0.010330957280372477,0.2582739320093119,0.5165478640186238,valid
pos_bin_35_of_50,34,0.68,0.7000000000000001,15,-0.10026854415173034,-0.10132359207046751,0.07819928874161569,0.10165901818574341,0.56,0.020190969532102847,-0.13984284443465192,-0.060694243868808756,0.6440326865301826,0.9962343944707688,1.0,valid
pos_bin_36_of_50,35,0.7000000000000001,0.72,14,-0.09021014801731453,-0.12964086603521396,0.14522212609273322,0.15209236429628287,0.5857142857142857,0.03881224577270657,-0.1662821497318194,-0.014138146302809657,0.6174040204688003,0.9962343944707688,1.0,valid
pos_bin_37_of_50,36,0.72,0.74,14,-0.11180455350771606,-0.07392236529548385,0.1234961381543006,0.11991985350570472,0.45714285714285713,0.03300573125450672,-0.17649578676654923,-0.0471133202488829,0.9467016257507728,0.9962343944707688,1.0,valid
pos_bin_38_of_50,37,0.74,0.76,13,-0.11322986530546912,-0.15889809912135622,0.10954147496912896,0.12625701103848969,0.46153846153846156,0.03038133883008843,-0.17277728941244244,-0.0536824411984958,0.9048491516756183,0.9962343944707688,1.0,valid
pos_bin_39_of_50,38,0.76,0.78,20,-0.11013092962772389,-0.1080006407199835,0.1339856263422229,0.1369921482663801,0.68,0.029960096850909692,-0.1688527194555069,-0.05140913979994089,0.985811758750814,0.9962343944707688,1.0,valid
pos_bin_40_of_50,39,0.78,0.8,11,-0.15120245500279725,-0.11684124271195664,0.13958203478064538,0.16494583066289267,0.45454545454545453,0.042085566985612555,-0.23369016629459785,-0.06871474371099665,0.3228760750234909,0.9915471212853241,1.0,valid
pos_bin_41_of_50,40,0.8,0.8200000000000001,18,-0.12470255983043262,-0.12198950311845583,0.13068964258112709,0.15333066236637682,0.5666666666666667,0.030803844166653715,-0.1850780943970739,-0.06432702526379133,0.6238919147523705,0.9962343944707688,1.0,valid
pos_bin_42_of_50,41,0.8200000000000001,0.84,18,-0.138625559509511,-0.1460788284897499,0.12572871066582134,0.15926570179034352,0.5694444444444444,0.029634541300547892,-0.19670926045858486,-0.08054185856043714,0.3273265744805536,0.9915471212853241,1.0,valid
pos_bin_43_of_50,42,0.84,0.86,12,-0.11131719369498663,-0.10875083304261722,0.13838575236617898,0.13989447961004145,0.5833333333333334,0.03994852569031116,-0.1896163040479965,-0.033018083341976756,0.9656762781844559,0.9962343944707688,1.0,valid
pos_bin_44_of_50,43,0.86,0.88,22,-0.06698857456378432,-0.08110203733370003,0.14849221996934742,0.1327687084735388,0.5909090909090909,0.03165864767069975,-0.12903952399835583,-0.004937625129212808,0.17833280300011767,0.840624989352074,1.0,valid
pos_bin_45_of_50,44,0.88,0.9,17,-0.1131641909634076,-0.12978244197200023,0.1168865314043916,0.1373010993575383,0.5411764705882353,0.02834914795249308,-0.16872852095029403,-0.057599860976521165,0.8998978722296613,0.9962343944707688,1.0,valid
pos_bin_46_of_50,45,0.9,0.92,18,-0.09165974731585042,-0.08238192145687218,0.14000456269670786,0.11814814280134776,0.5666666666666667,0.03299939189329976,-0.15633855542671796,-0.026980939204982873,0.5867183310297939,0.9962343944707688,1.0,valid
pos_bin_47_of_50,46,0.92,0.9400000000000001,10,-0.13616212911361902,-0.17841866509357612,0.11789601348690538,0.15357444858628974,0.54,0.03728199296725508,-0.20923483532943898,-0.06308942289779906,0.47614578546690867,0.9962343944707688,1.0,valid
pos_bin_48_of_50,47,0.9400000000000001,0.96,19,-0.11393549110185026,-0.09669099380432043,0.14535272384739376,0.15158507596313459,0.5789473684210527,0.03334620181153494,-0.17929404665245874,-0.048576935551241776,0.8965108263610946,0.9962343944707688,1.0,valid
pos_bin_49_of_50,48,0.96,0.98,19,-0.15522755790477016,-0.15817830600412192,0.09005275779979136,0.15522755790477016,0.6210526315789474,0.020659519517707087,-0.19572021615947605,-0.11473489965006428,0.027199774030439272,0.45332956717398787,1.0,valid
pos_bin_50_of_50,49,0.98,1.0,13,-0.10012907533523231,-0.1011163824519894,0.07387849088408359,0.10505092573331752,0.6153846153846154,0.020490206695112485,-0.14028988045765278,-0.05996827021281184,0.6439906572946115,0.9962343944707688,1.0,valid
